map_simple_use,premise_age,premise_floor_count,global_average_height
Mixed Use,1870-1918,2,7.633333524068196
Mixed Use,1870-1918,4,13.800000190734863
Mixed Use,1919-1944,2,8.199999809265137
Mixed Use,1945-1959,2,8.5
Mixed Use,1960-1979,1,5.599999904632568
Mixed Use,1960-1979,2,8.533333619435629
Mixed Use,1960-1979,3,11.0
Mixed Use,1990-1999,2,9.399999618530273
Mixed Use,Pre 1837,2,9.600000381469727
Mixed Use,Pre 1837,3,10.499999904632569
Mixed Use,Pre 1837,4,13.899999618530273
Mixed Use,Unknown date,1,6.7500001192092896
Mixed Use,Unknown date,2,8.68333330154419
Mixed Use,Unknown date,3,12.699999809265137
Non Residential,Unknown date,1,8.383333365122477
Non Residential,Unknown date,2,8.553191479216231
Non Residential,Unknown date,3,9.0
Non Residential,Unknown date,4,8.0
Residential,1837-1869,2,8.537500113248825
Residential,1837-1869,4,9.199999809265137
Residential,1870-1918,1,6.099999904632568
Residential,1870-1918,2,8.699608634829287
Residential,1870-1918,3,8.92857129233224
Residential,1870-1918,4,11.300000190734863
Residential,1919-1944,1,5.1875
Residential,1919-1944,2,8.646352607066145
Residential,1919-1944,3,9.22857141494751
Residential,1919-1944,4,8.916666825612387
Residential,1945-1959,1,5.749999931880406
Residential,1945-1959,2,8.712734878436509
Residential,1945-1959,3,9.276470633114085
Residential,1945-1959,4,7.699999809265137
Residential,1960-1979,1,6.419999949137369
Residential,1960-1979,2,8.656982571704132
Residential,1960-1979,3,8.566666722297668
Residential,1960-1979,4,8.76666651831733
Residential,1980-1989,1,4.299999952316284
Residential,1980-1989,2,8.667669206633605
Residential,1980-1989,3,8.600000143051147
Residential,1980-1989,4,9.5
Residential,1990-1999,1,5.233333269755046
Residential,1990-1999,2,8.704609945310768
Residential,1990-1999,3,9.919999885559083
Residential,1990-1999,6,8.5
Residential,Post 1999,1,6.503030271241159
Residential,Post 1999,2,8.562252769889412
Residential,Post 1999,3,9.850000143051147
Residential,Post 1999,4,8.636363593014805
Residential,Pre 1837,1,7.300000071525574
Residential,Pre 1837,2,8.84772732041099
Residential,Pre 1837,3,11.700000127156576
Residential,Pre 1837,4,12.0
Residential,Pre 1919,1,7.099999904632568
Residential,Pre 1919,2,8.692156875834746
Residential,Pre 1919,3,9.399999856948853
Residential,Unknown date,1,3.0005458515283845
Residential,Unknown date,2,8.735458001198918
Residential,Unknown date,3,8.540909106081184
Residential,Unknown date,4,8.34444448682997
