premise_use,premise_type,premise_age,count
Residential,2 storeys terraces with t rear extension,1870-1918,794962
Residential,3-4 storey and smaller flats,1960-1979,195498
Residential,Large detached,Post 1999,126878
Residential,Large semi detached,1870-1918,80967
Residential,Linked and step linked premises,1960-1979,287578
Residential,Medium height flats 5-6 storeys,Post 1999,4761
Residential,Planned balanced mixed estates,1960-1979,128422
Residential,Semi type house in multiples,1919-1944,633599
Residential,Small low terraces,1870-1918,1223972
Residential,Standard size detached,1960-1979,1288203
Residential,Standard size semi detached,1919-1944,2080593
Residential,Tall flats 6-15 storeys,1960-1979,3103
Residential,Tall terraces 3-4 storeys,1870-1918,112574
Residential,Very large detached,Pre 1837,2779
Residential,Very tall point block flats,1960-1979,2168
